Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
pvez_lb_personal,You have broken the law. Other players could see your position on the map. Maybe someone is already trying to hunt you down.,You have broken the law. Other players could see your position on the map. Maybe someone is already trying to hunt you down.,Porušili jste zákon. Ostatní hráči mohli vidět vaši polohu na mapě. Možná se vás už někdo snaží pronásledovat.,"Du hast das Gesetz gebrochen. Andere Spieler könnten Ihren Standort auf der Karte sehen. Vielleicht versucht schon jemand, dich zu verfolgen.","Вы нарушили закон. Другие игроки могут отследить ваше местоположение по карте. Возможно, кто-то уже пытается вас выследить.",Złamałeś prawo. Inni gracze mogą zobaczyć twoją pozycję na mapie. Może ktoś już próbuje cię wyśledzić.,Megszegte a törvényt. Más játékosok láthatják a helyzetét a térképen. Talán valaki már megpróbál követni téged.,Hai infranto la legge. Gli altri giocatori possono vedere la tua posizione sulla mappa. Forse qualcuno sta già cercando di rintracciarti.,Rompiste la ley. Otros jugadores pueden ver tu posición en el mapa. Tal vez alguien ya está tratando de rastrearte.,Vous avez enfreint la loi. Les autres joueurs peuvent voir votre position sur la carte. Peut-être que quelqu'un essaie déjà de vous suivre.,你觸犯了法律。 其他玩家可以在地圖上看到您的位置。 也許有人已經在追踪您。,あなたは法律を破った。 他のプレイヤーはあなたの位置を地図上で見ることができます。 多分誰かがすでにあなたを追跡しようとしています。,Você violou a lei. Outros jogadores podem ver sua posição no mapa. Talvez alguém já esteja tentando rastrear você.,你触犯了法律。 其他玩家可以在地图上看到您的位置。 也许有人已经在尝试追踪您。
pvez_lb_serverwide1,killed,killed,zabil,getötet,убил,zabił,megölte,uccise,mató a,a tué,人喪生,人死亡,mortos,人丧生
pvez_lb_serverwide2,. Weapon:,. Weapon:,. Zbraň:,. Waffe:,. Оружие:,. Broń:,. Fegyver:,. Arma:,. Arma:,. Arme:,。武器：,.武器：,. Arma:,。武器：
pvez_lb_map_label,Murderer,Murderer,Vrah,Mörder,Убийца,Morderca,Gyilkos,Assassino,Asesino,Meurtrier,兇手,殺人者,Assassino,凶手
pvez_player_map_label,You're here,You're here,Jsi tady,Du bist hier,Вы здесь,Jesteś tutaj,Ön itt van,Tu sei qui,Estás aquí,Tu es là,您現在的位置,あなたはここにいる,Você está aqui,您现在的位置
pvez_bare_hands,bare hands,bare hands,holýma rukama,mit bloßen Händen,голыми руками,gołymi rękami,meztelen kezekkel,a mani nude,con las manos desnudas,à mains nues,赤手空拳,素手で,com as mãos,赤手空拳
pvez_aui_desc_mode,"The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","Режим работы зон:
* PVP zones: зоны - это PvP территории, остальная карта - PvE.
* PVE zones: зоны - PvE территории, остальная карта - PvP.
* PVE: вся карта - PvE территория, PvP запрещено везде, все зоны дективированы.
* PVP: как обычная ванильная игра, PvP работает везде, но вы можете настроить зоны, чтобы игроки видели, где можно ПвПшиться легально.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal.","The mode:
* PVP zones: the zones are PvP areas, the rest of the map is PvE.
* PVE zones: the zones are PvE safe zones, the rest of the map is PvP area.
* PVE: the whole map is PvE area, PvP is not allowed at all, all zones are disabled.
* PVP: just like the vanilla game, PvP works anywwhere, but you can use the zones to show your players where PvP is legal."
pvez_aui_desc_updatefreq,"Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Частота обновления.
Период в секундах, который определяет как часто мод будет проверять позиции игроков, чтобы обновить их PvP статус (находится ли игрок в какой-либо зоне или нет).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not).","Update frequency.
The period in seconds that determines how often the mod will check players current positions to update their PvP status (is the player in a zone or not)."
pvez_aui_desc_shownotifs,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,"Показывать игрокам уведомление, когда они входят или выходят из зоны.",Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.,Show notifications to players when they enter or leave a zone.
pvez_aui_desc_useuinotifs,"Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Использовать GUI уведомления. Когда ВЫКЛ, игроки будут получать уведомления в виде сообщений в чате.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones.","Use GUI notifications. When this is OFF, players will receive chat messages on entering and leaving zones."
pvez_aui_desc_zonenameinnotifs,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Показывать название зоны в уведомлениях.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.,Show the zone name in notifications.
pvez_aui_desc_exitdelay,"Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Обратный отсчет в секундах до выхода из зоны. Когда игрок покидает зону, его статус сменится только после окончания отсчета.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over.","Countdown in seconds before leaving a zone. When player leaves a zone, their status will be changed only after the countdown is over."
pvez_aui_desc_custommsgenter,"Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Ваш кастомный текст для сообщений при входе в зону, который будет использоваться взамен дефолтного локализованного текста.
По умолчанию используется локализоанный текст, зависящий от режима работы зон (Mode).
В режиме 'PvP zones' или 'PvP' это локализованные варианты 'Вы вошли в зону открытых боевых действий'.
В режиме 'PvE zones' - 'Вы вошли в зону перемирия'.
Если впишете свой текст, он, естественно, уже не будет меняться от режима.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You entered the open fire zone'.
With Mode 'PvE zones' the default message is 'You entered the armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings."
pvez_aui_desc_custommsgexit,"Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Ваш кастомный текст для сообщений при выходе из зоны, который будет использоваться взамен дефолтного локализованного текста.
По умолчанию используется локализоанный текст, зависящий от режима работы зон (Mode).
В режиме 'PvP zones' или 'PvP' это локализованные варианты 'Вы покинули зону боевых действий'.
В режиме 'PvE zones' - 'Вы покинули зону перемирия'.
Если впишете свой текст, он, естественно, уже не будет меняться от режима.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings.","Your own custom text that will be shown in notifications replacing the localized text.
By default the mod uses the localized text that is determined by the selected Mode.
With modes 'PvP zones' and 'PvP' it's localized variations of 'You have left open fire zone'.
With Mode 'PvE zones' the default message is 'You have left armistice zone' (in different languages).
If you print your own text here, it obviously won't be affected by the Mode settings."
